DATE,OCCounter,FairCounter,PendingCounter
2024-01-14 01:25:30,167951,93356,528
2024-01-14 02:34:17,167951,93356,528
2024-01-14 04:21:10,167951,93356,528
2024-01-14 06:22:53,167951,93356,528
2024-01-14 08:20:52,167951,93356,528
2024-01-14 10:18:16,167951,93356,528
2024-01-14 12:31:40,167951,93356,528
2024-01-14 14:15:22,167951,93356,528
2024-01-14 16:21:48,167951,93356,528
2024-01-14 18:21:31,168008,93368,529
2024-01-14 20:18:10,168008,93368,529
2024-01-14 22:16:42,168008,93368,529
2024-01-15 01:22:18,168008,93368,529
2024-01-15 02:34:25,168008,93368,529
2024-01-15 04:22:50,168008,93368,529
2024-01-15 06:24:56,168008,93368,529
2024-01-15 08:24:16,168008,93368,529
2024-01-15 10:20:59,168008,93368,529
2024-01-15 12:34:47,168008,93368,529
2024-01-15 14:17:37,168008,93368,529
2024-01-15 16:23:30,168008,93368,529
2024-01-15 18:22:23,168064,93394,529
2024-01-15 20:18:52,168064,93394,529
2024-01-15 22:17:17,168064,93394,529
2024-01-16 01:20:00,168064,93394,529
2024-01-16 02:31:18,168064,93394,529
2024-01-16 04:22:02,168064,93394,529
2024-01-16 06:23:58,168064,93394,529
2024-01-16 08:23:02,168064,93394,529
2024-01-16 10:19:56,168064,93394,529
2024-01-16 12:34:56,168064,93394,529
2024-01-16 14:17:12,168064,93394,529
2024-01-16 16:23:54,168064,93394,529
2024-01-16 18:22:49,168116,93410,530
2024-01-16 20:19:21,168116,93410,530
2024-01-16 22:17:25,168116,93410,530
2024-01-17 01:20:34,168116,93410,530
2024-01-17 02:31:26,168116,93410,530
2024-01-17 04:22:40,168116,93410,530
2024-01-17 06:23:50,168116,93410,530
2024-01-17 08:23:32,168116,93410,530
2024-01-17 10:19:59,168116,93410,530
2024-01-17 12:34:49,168116,93410,530
2024-01-17 14:17:15,168116,93410,530
2024-01-17 16:24:12,168116,93410,530
2024-01-17 18:23:01,168172,93419,531
2024-01-17 20:19:18,168172,93419,531
2024-01-17 22:17:28,168172,93419,531
2024-01-18 01:19:41,168172,93419,531
2024-01-18 02:31:31,168172,93419,531
2024-01-18 04:21:41,168172,93419,531
2024-01-18 06:24:10,168172,93419,531
2024-01-18 08:22:34,168172,93419,531
2024-01-18 10:20:40,168172,93419,531
2024-01-18 12:34:40,168172,93419,531
2024-01-18 14:17:09,168172,93419,531
2024-01-18 16:23:27,168172,93419,531
2024-01-18 18:22:59,168222,93436,531
2024-01-18 20:19:14,168222,93436,531
2024-01-18 22:17:20,168222,93436,531
2024-01-19 01:20:46,168222,93436,531
2024-01-19 02:32:29,168222,93436,531
2024-01-19 04:22:36,168222,93436,531
2024-01-19 06:23:51,168222,93436,531
2024-01-19 08:23:01,168222,93436,531
2024-01-19 10:19:55,168222,93436,531
2024-01-19 12:34:26,168222,93436,531
2024-01-19 14:17:06,168222,93436,531
2024-01-19 16:23:36,168222,93436,531
2024-01-19 18:23:18,168264,93464,531
2024-01-19 20:19:06,168264,93464,531
2024-01-19 22:17:08,168264,93464,531
2024-01-20 01:19:20,168264,93464,531
2024-01-20 02:29:32,168264,93464,531
2024-01-20 04:21:57,168264,93464,531
2024-01-20 06:22:16,168264,93464,531
2024-01-20 08:21:21,168264,93464,531
2024-01-20 10:18:10,168264,93464,531
2024-01-20 12:32:00,168264,93464,531
2024-01-20 14:15:21,168264,93464,531
2024-01-20 16:22:13,168264,93464,531
2024-01-20 18:21:14,168264,93464,531
2024-01-20 20:18:03,168264,93464,531
2024-01-20 22:16:35,168264,93464,531
2024-01-21 01:25:59,168264,93464,531
2024-01-21 02:35:14,168264,93464,531
2024-01-21 04:21:13,168264,93464,531
2024-01-21 06:22:56,168264,93464,531
2024-01-21 08:21:33,168264,93464,531
2024-01-21 10:18:55,168264,93464,531
2024-01-21 12:32:14,168264,93464,531
2024-01-21 14:15:42,168264,93464,531
2024-01-21 16:22:00,168264,93464,531
2024-01-21 18:21:49,168318,93491,531
2024-01-21 20:18:31,168318,93491,531
2024-01-21 22:16:49,168318,93491,531
2024-01-22 01:23:32,168318,93491,531
2024-01-22 02:35:34,168318,93491,531
2024-01-22 04:23:18,168318,93491,531
2024-01-22 06:25:14,168318,93491,531
2024-01-22 08:24:32,168318,93491,531
2024-01-22 10:20:40,168318,93491,531
2024-01-22 12:36:01,168318,93491,531
2024-01-22 14:18:17,168318,93491,531
2024-01-22 16:23:34,168318,93491,531
2024-01-22 18:23:15,168422,93536,532
2024-01-22 20:19:23,168422,93536,532
2024-01-22 22:16:43,168422,93536,532
2024-01-23 01:21:31,168422,93536,532
2024-01-23 02:32:51,168422,93536,532
2024-01-23 04:22:28,168422,93536,532
2024-01-23 06:24:09,168422,93536,532
2024-01-23 08:23:33,168422,93536,532
2024-01-23 10:19:51,168422,93536,532
2024-01-23 12:35:10,168422,93536,532
2024-01-23 14:17:35,168422,93536,532
2024-01-23 16:24:26,168422,93536,532
2024-01-23 18:23:17,168422,93536,532
2024-01-23 20:19:25,168422,93536,532
2024-01-23 22:17:28,168422,93536,532
2024-01-24 01:21:21,168422,93536,532
2024-01-24 02:32:29,168422,93536,532
2024-01-24 04:23:00,168422,93536,532
2024-01-24 06:24:29,168422,93536,532
2024-01-24 08:23:29,168422,93536,532
2024-01-24 10:20:09,168422,93536,532
2024-01-24 12:35:33,168422,93536,532
2024-01-24 14:17:55,168422,93536,532
2024-01-24 16:23:31,168422,93536,532
2024-01-24 18:21:36,168532,93555,534
2024-01-24 20:19:48,168532,93555,534
2024-01-24 22:17:25,168532,93555,534
2024-01-25 01:21:40,168532,93555,534
2024-01-25 02:33:18,168532,93555,534
2024-01-25 04:22:41,168532,93555,534
2024-01-25 06:23:57,168532,93555,534
2024-01-25 08:23:22,168532,93555,534
2024-01-25 10:19:59,168532,93555,534
2024-01-25 12:35:23,168532,93555,534
2024-01-25 14:17:44,168532,93555,534
2024-01-25 16:24:30,168532,93555,534
2024-01-25 18:23:41,168574,93576,534
2024-01-25 20:17:40,168574,93576,534
2024-01-25 22:15:34,168574,93576,534
2024-01-26 01:15:35,168574,93576,534
2024-01-26 02:24:16,168574,93576,534
2024-01-26 04:22:18,168574,93576,534
2024-01-26 06:22:30,168574,93576,534
2024-01-26 08:20:41,168574,93576,534
2024-01-26 10:18:30,168574,93576,534
2024-01-26 12:31:08,168574,93576,534
2024-01-26 14:15:51,168574,93576,534
2024-01-26 16:21:28,168574,93576,534
2024-01-26 18:20:51,168574,93576,534
2024-01-26 20:17:08,168574,93576,534
2024-01-26 22:17:21,168574,93576,534
2024-01-27 01:13:06,168574,93576,534
2024-01-27 02:20:05,168574,93576,534
2024-01-27 04:18:50,168574,93576,534
2024-01-27 06:19:43,168574,93576,534
2024-01-27 08:19:14,168574,93576,534
2024-01-27 10:17:05,168574,93576,534
2024-01-27 12:28:02,168574,93576,534
2024-01-27 14:14:35,168574,93576,534
2024-01-27 16:20:07,168574,93576,534
2024-01-27 18:18:58,168681,93643,536
2024-01-27 20:17:00,168681,93643,536
2024-01-27 22:15:38,168681,93643,536
2024-01-28 01:18:56,168681,93643,536
2024-01-28 02:23:09,168681,93643,536
2024-01-28 04:20:13,168681,93643,536
2024-01-28 06:20:21,168681,93643,536
2024-01-28 08:20:48,168681,93643,536
2024-01-28 10:17:32,168681,93643,536
2024-01-28 12:28:48,168681,93643,536
2024-01-28 14:14:19,168681,93643,536
2024-01-28 16:19:24,168681,93643,536
2024-01-28 18:19:04,168736,93658,537
2024-01-28 20:16:07,168736,93658,537
2024-01-28 22:15:40,168736,93658,537
2024-01-29 01:14:30,168736,93658,537
2024-01-29 02:21:58,168736,93658,537
